Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-159.36946642771971,50.0,0.999,0.3,
2,SA,-160.0,50.0,0.999,0.3,
3,SA,-119.49726529326043,50.0,0.999,0.3,
4,SA,-120.0,50.0,0.999,0.3,
5,SA,-200.0,50.0,0.999,0.3,
6,SA,-158.16380007410078,50.0,0.999,0.3,
7,SA,-160.0,50.0,0.999,0.3,
8,SA,-159.70604373434583,50.0,0.999,0.3,
9,SA,-154.09268354032068,50.0,0.999,0.3,
10,SA,-159.92672291328884,50.0,0.999,0.3,
11,SA,-158.17238300963774,50.0,0.999,0.3,
12,SA,-157.39382021987097,50.0,0.999,0.3,
13,SA,-159.74160530151636,50.0,0.999,0.3,
14,SA,-160.0,50.0,0.999,0.3,
15,SA,-114.71746511709857,50.0,0.999,0.3,
16,SA,-119.9990030078585,50.0,0.999,0.3,
17,SA,-159.0652488869894,50.0,0.999,0.3,
18,SA,-157.2927280611612,50.0,0.999,0.3,
19,SA,-158.78627428465262,50.0,0.999,0.3,
20,SA,-119.4480799686098,50.0,0.999,0.3,
21,SA,-157.5098699062099,50.0,0.999,0.3,
22,SA,-119.99203286524836,50.0,0.999,0.3,
23,SA,-160.0,50.0,0.999,0.3,
24,SA,-159.8965725072078,50.0,0.999,0.3,
25,SA,-114.73194982433917,50.0,0.999,0.3,
26,SA,-153.69782665078424,50.0,0.999,0.3,
27,SA,-160.0,50.0,0.999,0.3,
28,SA,-159.6514833183333,50.0,0.999,0.3,
29,SA,-120.0,50.0,0.999,0.3,
30,SA,-114.99572158449766,50.0,0.999,0.3,
31,SA,-160.0,50.0,0.999,0.3,
32,SA,-159.73806013614876,50.0,0.999,0.3,
33,SA,-160.0,50.0,0.999,0.3,
34,SA,-159.5260366936975,50.0,0.999,0.3,
35,SA,-120.0,50.0,0.999,0.3,
36,SA,-160.0,50.0,0.999,0.3,
37,SA,-75.63585665900332,50.0,0.999,0.3,
38,SA,-160.0,50.0,0.999,0.3,
39,SA,-160.0,50.0,0.999,0.3,
40,SA,-116.42904779806697,50.0,0.999,0.3,
41,SA,-119.87153713962897,50.0,0.999,0.3,
42,SA,-155.93580114355805,50.0,0.999,0.3,
43,SA,-160.0,50.0,0.999,0.3,
44,SA,-120.0,50.0,0.999,0.3,
45,SA,-159.47201601486782,50.0,0.999,0.3,
46,SA,-160.0,50.0,0.999,0.3,
47,SA,-160.0,50.0,0.999,0.3,
48,SA,-156.99459684275482,50.0,0.999,0.3,
49,SA,-154.95686937854848,50.0,0.999,0.3,
50,SA,-160.0,50.0,0.999,0.3,
1,GD,-113.38271604938271,,,,0.5
2,GD,-106.99999999999866,,,,0.5
3,GD,-119.99999999999882,,,,0.5
4,GD,-109.38271604938271,,,,0.5
5,GD,-95.99999999999321,,,,0.5
6,GD,-131.99999999999886,,,,0.5
7,GD,-131.999999999997,,,,0.5
8,GD,-123.99999999999483,,,,0.5
9,GD,-108.0,,,,0.5
10,GD,-116.0,,,,0.5
11,GD,-90.99999999999805,,,,0.5
12,GD,-124.0,,,,0.5
13,GD,-132.0,,,,0.5
14,GD,-124.0,,,,0.5
15,GD,-89.38271604938272,,,,0.5
16,GD,-128.0,,,,0.5
17,GD,-147.99999999999767,,,,0.5
18,GD,-156.0,,,,0.5
19,GD,-119.99999999999801,,,,0.5
20,GD,-127.0,,,,0.5
21,GD,-140.0,,,,0.5
22,GD,-128.0,,,,0.5
23,GD,-131.9999999999964,,,,0.5
24,GD,-120.0,,,,0.5
25,GD,-107.99999999999424,,,,0.5
26,GD,-107.99999999999338,,,,0.5
27,GD,-140.0,,,,0.5
28,GD,-129.3827160493827,,,,0.5
29,GD,-135.99999999999966,,,,0.5
30,GD,-110.9999999999975,,,,0.5
31,GD,-116.0,,,,0.5
32,GD,-143.99999999999687,,,,0.5
33,GD,-111.99999999999831,,,,0.5
34,GD,-133.37788444452792,,,,0.5
35,GD,-135.99999999999778,,,,0.5
36,GD,-111.0,,,,0.5
37,GD,-156.0,,,,0.5
38,GD,-126.0,,,,0.5
39,GD,-147.99999999999636,,,,0.5
40,GD,-111.99999999999714,,,,0.5
41,GD,-119.99999999999875,,,,0.5
42,GD,-124.0,,,,0.5
43,GD,-106.99999999999886,,,,0.5
44,GD,-127.99999999999886,,,,0.5
45,GD,-131.0,,,,0.5
46,GD,-91.99999999999433,,,,0.5
47,GD,-128.0,,,,0.5
48,GD,-120.0,,,,0.5
49,GD,-131.9999999999966,,,,0.5
50,GD,-115.0,,,,0.5
