Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-79.87079324659027,50.0,0.99,0.1,
2,SA,-80.0,50.0,0.99,0.1,
3,SA,-79.89925412502717,50.0,0.99,0.1,
4,SA,-119.88090332705937,50.0,0.99,0.1,
5,SA,-119.71457946782077,50.0,0.99,0.1,
6,SA,-118.84941480854727,50.0,0.99,0.1,
7,SA,-120.0,50.0,0.99,0.1,
8,SA,-79.91880326080187,50.0,0.99,0.1,
9,SA,-120.0,50.0,0.99,0.1,
10,SA,-119.63613000825109,50.0,0.99,0.1,
11,SA,-119.66458262716026,50.0,0.99,0.1,
12,SA,-119.38878416451132,50.0,0.99,0.1,
13,SA,-79.99970671739335,50.0,0.99,0.1,
14,SA,-160.0,50.0,0.99,0.1,
15,SA,-80.0,50.0,0.99,0.1,
16,SA,-159.00470290686008,50.0,0.99,0.1,
17,SA,-80.0,50.0,0.99,0.1,
18,SA,-79.92091230359839,50.0,0.99,0.1,
19,SA,-119.51834240490118,50.0,0.99,0.1,
20,SA,-80.0,50.0,0.99,0.1,
21,SA,-120.0,50.0,0.99,0.1,
22,SA,-120.0,50.0,0.99,0.1,
23,SA,-119.88002182985615,50.0,0.99,0.1,
24,SA,-160.0,50.0,0.99,0.1,
25,SA,-159.979188397621,50.0,0.99,0.1,
26,SA,-120.0,50.0,0.99,0.1,
27,SA,-120.0,50.0,0.99,0.1,
28,SA,-120.0,50.0,0.99,0.1,
29,SA,-160.0,50.0,0.99,0.1,
30,SA,-79.76841897385849,50.0,0.99,0.1,
31,SA,-120.0,50.0,0.99,0.1,
32,SA,-120.0,50.0,0.99,0.1,
33,SA,-119.25467679314205,50.0,0.99,0.1,
34,SA,-120.0,50.0,0.99,0.1,
35,SA,-120.0,50.0,0.99,0.1,
36,SA,-119.34941400800724,50.0,0.99,0.1,
37,SA,-119.93184334767614,50.0,0.99,0.1,
38,SA,-79.9898701768793,50.0,0.99,0.1,
39,SA,-120.0,50.0,0.99,0.1,
40,SA,-119.48142881335846,50.0,0.99,0.1,
41,SA,-119.8824313289014,50.0,0.99,0.1,
42,SA,-80.0,50.0,0.99,0.1,
43,SA,-159.67361448824556,50.0,0.99,0.1,
44,SA,-119.98686188954328,50.0,0.99,0.1,
45,SA,-79.974490869173,50.0,0.99,0.1,
46,SA,-119.86377773684822,50.0,0.99,0.1,
47,SA,-120.0,50.0,0.99,0.1,
48,SA,-118.34228416825948,50.0,0.99,0.1,
49,SA,-120.0,50.0,0.99,0.1,
50,SA,-79.86460219083271,50.0,0.99,0.1,
1,GD,-29.655883933458902,,,,0.01
2,GD,-22.634383261009262,,,,0.01
3,GD,-9.739313664742493,,,,0.01
4,GD,-45.99184451121507,,,,0.01
5,GD,-41.443039719193024,,,,0.01
6,GD,-37.425187981334794,,,,0.01
7,GD,-22.109506747363035,,,,0.01
8,GD,-6.107808795071585,,,,0.01
9,GD,17.04751385497735,,,,0.01
10,GD,-6.579895093547393,,,,0.01
11,GD,-2.3061216435679026,,,,0.01
12,GD,-17.503479441973965,,,,0.01
13,GD,-26.06844807969216,,,,0.01
14,GD,-25.732139191093726,,,,0.01
15,GD,-13.684959301528455,,,,0.01
16,GD,-25.634799671080522,,,,0.01
17,GD,-14.119361005365041,,,,0.01
18,GD,-42.268297566244904,,,,0.01
19,GD,-9.999752031951681,,,,0.01
20,GD,-29.654917870831174,,,,0.01
21,GD,-33.49880030977049,,,,0.01
22,GD,-14.047675349804036,,,,0.01
23,GD,-41.356359843444956,,,,0.01
24,GD,-14.11460776216874,,,,0.01
25,GD,-10.37411795007134,,,,0.01
26,GD,-9.973064957971676,,,,0.01
27,GD,-10.213430122634975,,,,0.01
28,GD,-5.644835394324053,,,,0.01
29,GD,-14.634773788396352,,,,0.01
30,GD,-13.704037567020128,,,,0.01
31,GD,-2.4119255790880563,,,,0.01
32,GD,-13.763942035663662,,,,0.01
33,GD,9.172023680230007,,,,0.01
34,GD,-6.039712462166779,,,,0.01
35,GD,-29.81459944568574,,,,0.01
36,GD,20.391273988922737,,,,0.01
37,GD,-49.27520825895869,,,,0.01
38,GD,-5.922895089300692,,,,0.01
39,GD,1.2150076797864275,,,,0.01
40,GD,-6.1992964415769585,,,,0.01
41,GD,1.9786368474356593,,,,0.01
42,GD,-14.543887988157183,,,,0.01
43,GD,-26.08201324751775,,,,0.01
44,GD,-10.149618332721458,,,,0.01
45,GD,-18.061853565949942,,,,0.01
46,GD,-25.803250456035293,,,,0.01
47,GD,1.1249428188007977,,,,0.01
48,GD,-21.811887649356688,,,,0.01
49,GD,-18.028289607537634,,,,0.01
50,GD,-6.1836899271637416,,,,0.01
