Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-4.053189295183782,10.0,0.99,0.01,
2,SA,-21.96551866498919,10.0,0.99,0.01,
3,SA,-32.264480391544595,10.0,0.99,0.01,
4,SA,-12.404246414935642,10.0,0.99,0.01,
5,SA,-28.86276418543513,10.0,0.99,0.01,
6,SA,-16.282671283943404,10.0,0.99,0.01,
7,SA,-3.862539030531945,10.0,0.99,0.01,
8,SA,-3.3117473259102423,10.0,0.99,0.01,
9,SA,-3.592675878025455,10.0,0.99,0.01,
10,SA,-11.621127643864641,10.0,0.99,0.01,
11,SA,0.33634122705662306,10.0,0.99,0.01,
12,SA,-24.330644681677814,10.0,0.99,0.01,
13,SA,24.111457283665246,10.0,0.99,0.01,
14,SA,-12.21382262203719,10.0,0.99,0.01,
15,SA,-4.801022896165626,10.0,0.99,0.01,
16,SA,38.710541541227,10.0,0.99,0.01,
17,SA,-8.402194421956567,10.0,0.99,0.01,
18,SA,-9.68991940557777,10.0,0.99,0.01,
19,SA,-16.75717018800179,10.0,0.99,0.01,
20,SA,-5.363298350999679,10.0,0.99,0.01,
21,SA,-21.0727940588912,10.0,0.99,0.01,
22,SA,-24.27280479251004,10.0,0.99,0.01,
23,SA,-37.22366124377605,10.0,0.99,0.01,
24,SA,-24.258883642978656,10.0,0.99,0.01,
25,SA,11.749706277087476,10.0,0.99,0.01,
26,SA,-4.757598009859169,10.0,0.99,0.01,
27,SA,-5.094751313653644,10.0,0.99,0.01,
28,SA,0.2788339742681624,10.0,0.99,0.01,
29,SA,1.433159695058454,10.0,0.99,0.01,
30,SA,-36.23697871277276,10.0,0.99,0.01,
31,SA,-13.32806693818822,10.0,0.99,0.01,
32,SA,-19.535529657735186,10.0,0.99,0.01,
33,SA,-20.79139355597848,10.0,0.99,0.01,
34,SA,-15.764630036116314,10.0,0.99,0.01,
35,SA,-1.1897248614212488,10.0,0.99,0.01,
36,SA,-27.938880994316353,10.0,0.99,0.01,
37,SA,-22.74886874922174,10.0,0.99,0.01,
38,SA,-16.806027797987156,10.0,0.99,0.01,
39,SA,-19.33872652107511,10.0,0.99,0.01,
40,SA,-23.901769183683818,10.0,0.99,0.01,
41,SA,-33.809944679327835,10.0,0.99,0.01,
42,SA,-31.662030840897053,10.0,0.99,0.01,
43,SA,-16.013063415541442,10.0,0.99,0.01,
44,SA,-23.894430009579544,10.0,0.99,0.01,
45,SA,-22.477826670779052,10.0,0.99,0.01,
46,SA,-0.3403598400727933,10.0,0.99,0.01,
47,SA,-18.253810622856566,10.0,0.99,0.01,
48,SA,-17.14159500784353,10.0,0.99,0.01,
49,SA,2.9111500541771482,10.0,0.99,0.01,
50,SA,-4.3220236168829915,10.0,0.99,0.01,
1,GD,103571.08362973818,,,,0.01
2,GD,77810.0950167848,,,,0.01
3,GD,89286.7392358975,,,,0.01
4,GD,77591.15851790077,,,,0.01
5,GD,83562.63404616622,,,,0.01
6,GD,80587.69460314781,,,,0.01
7,GD,103533.04252351234,,,,0.01
8,GD,86343.27750864842,,,,0.01
9,GD,97875.45327794785,,,,0.01
10,GD,118350.07122794447,,,,0.01
11,GD,109681.66339525457,,,,0.01
12,GD,97818.4080855003,,,,0.01
13,GD,86231.6867157563,,,,0.01
14,GD,97597.14900646996,,,,0.01
15,GD,97876.11852533926,,,,0.01
16,GD,89020.08194518402,,,,0.01
17,GD,97957.56165908343,,,,0.01
18,GD,121010.43491089993,,,,0.01
19,GD,86499.88415992915,,,,0.01
20,GD,97854.19243782423,,,,0.01
21,GD,92392.99434036875,,,,0.01
22,GD,97990.36759691998,,,,0.01
23,GD,109482.6027212516,,,,0.01
24,GD,83549.70500747433,,,,0.01
25,GD,86572.9205955673,,,,0.01
26,GD,106619.09493445637,,,,0.01
27,GD,112385.50777843302,,,,0.01
28,GD,100637.37479524183,,,,0.01
29,GD,89252.74760619289,,,,0.01
30,GD,112351.0041586579,,,,0.01
31,GD,69384.74382419689,,,,0.01
32,GD,103605.3207116689,,,,0.01
33,GD,103838.34815359328,,,,0.01
34,GD,103648.8570484571,,,,0.01
35,GD,77620.27550819062,,,,0.01
36,GD,106486.94891623933,,,,0.01
37,GD,112634.62711669032,,,,0.01
38,GD,86651.55247119049,,,,0.01
39,GD,89362.5060380975,,,,0.01
40,GD,86559.21137956074,,,,0.01
41,GD,112095.96108902982,,,,0.01
42,GD,103838.9201124772,,,,0.01
43,GD,115293.97290632685,,,,0.01
44,GD,132551.72783266692,,,,0.01
45,GD,103740.15160405202,,,,0.01
46,GD,112378.88875632304,,,,0.01
47,GD,112781.2702022086,,,,0.01
48,GD,109481.0045377905,,,,0.01
49,GD,118226.03302641932,,,,0.01
50,GD,86274.51346780697,,,,0.01
