lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.1,0.01,ascent,10.610811954687291,21.676979036070545,3.1616415906060102,13.484273162584683,2.524116624367547,0.01,1,10.306219753349241,112.58933033773472,18.385441320695612,2.1640564823150634
0.0001,0.1,0.1,ascent,10.60534016114515,19.887889706547696,3.9782356331181323,13.07938590128687,2.185686768636814,0.01,1,10.377668971546752,112.47323993359824,17.577262842998305,2.298837366104126
0.0001,0.1,1.0,ascent,2.915091125477221,1.242708344880595,0.0007272864002279,7.698869890077198,2.201326099329583,0.0001,5,1.9109996531256754,8.49775626983605,0.5441322452233329,2.31341495513916
0.0001,0.1,10.0,ascent,0.1212270364966101,0.0024039773081057964,0.0008020179897774149,0.6061223955903015,0.11861776279996614,0.0001,24,0.025016409136433014,0.014695994377750437,0.00048087255449150526,2.2177156257629393
0.0001,0.5,0.01,ascent,11.028720169532553,24.518090073595694,4.5697495340173795,14.29998262931853,2.857446678713453,0.01,1,10.652120308002702,121.63266857785415,20.78909476173254,2.190919933319092
0.0001,0.5,0.1,ascent,11.652710076983041,27.128285720307556,6.632455067155526,14.290697867952451,2.126342612906868,0.01,2,11.457064162810582,135.78565213822213,24.012745474840735,2.23280553817749
0.0001,0.5,1.0,ascent,9.941595340365394,17.411331922433735,5.509898554728444,14.01817878477542,2.364420064270852,0.01,1,9.656336555404868,98.83531791157493,14.12030420882622,172.98570808410645
0.0001,0.5,10.0,ascent,1.2195099065961104,0.18773267164355292,0.00014800393528746625,4.608727501195176,1.1488941267184942,0.0001,2,0.4089580637153423,1.4872044122860537,0.04797517442005299,2.57879584312439
0.0001,1.0,0.01,ascent,11.385512468169276,24.61127256598074,7.702362679507688,14.280980552686533,1.800306268479144,0.01,1,11.242276971437448,129.62989416283804,22.031789758083146,4.242042551040649
0.0001,1.0,0.1,ascent,10.51079890083736,21.481197493130416,4.565320381867302,13.944317012212064,2.500665633719558,0.01,1,10.208994314925334,110.47689353384385,17.71027398271514,3.3355393505096433
0.0001,1.0,1.0,ascent,10.80875979228829,21.97678012015718,6.321279810571582,13.416847258321614,2.010349145731568,0.01,1,10.620159347187046,116.82928824738799,18.849644958659233,2.827696876525879
0.0001,1.0,10.0,ascent,6.303757841633494,9.665376450328157,2.6508748428435607,11.899517214472914,2.705793629222317,0.01,2,5.693508914721718,39.73736292595576,5.500400281089579,1.9883687782287598
0.0001,2.0,0.01,ascent,11.668342259614912,32.62457890084413,6.668186467219584,12.642411176571153,1.5928796525056907,0.01,1,11.559106604757506,136.15021108751523,29.4171628407338,2.0161232566833496
0.0001,2.0,0.1,ascent,11.094847081778681,25.33222909810849,4.6080565055519465,14.282975535010042,2.6773849830032237,0.01,1,10.766951352209306,123.09563176805294,21.303366646996388,2.2349070358276366
