lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.1,0.01,ascent,56.73205295497939,19.15623157477567,40.49903155319801,72.66304619738634,10.78886562180389,0.01,3,55.6967342945818,3218.525832486586,15.785137588197324,1.3286501026153565
0.0001,0.1,0.1,ascent,58.67492837294969,20.31436271564912,42.47711650801486,80.67971754384632,9.37331827673341,0.01,2,57.92139608170569,3442.747219570776,18.002941983741472,1.851091318130493
0.0001,0.1,1.0,ascent,58.302622598932096,22.41728072601246,37.87677297022783,80.43844979164008,14.01696370735375,0.01,1,56.59258370440632,3399.1958019135077,17.802607101221493,1.5945954513549805
0.0001,0.1,10.0,ascent,52.96063295919717,21.773092080877575,29.225571573881076,69.72130426814759,11.54228878331564,0.01,1,51.687563427592025,2804.828643438802,19.528248871797754,1.5179713726043702
0.0001,0.5,0.01,ascent,59.872645383999476,21.372454215779086,40.502293950957956,80.70637584781691,9.229793874474609,0.01,1,59.15694862239655,3584.7336652781537,19.2542217209124,1.6509665966033935
0.0001,0.5,0.1,ascent,60.276027542768134,22.771109869806313,40.50050297243827,80.7043865363245,12.365544542381324,0.01,1,58.99400651343258,3633.199496336543,19.085798179920083,2.0051192569732668
0.0001,0.5,1.0,ascent,58.45711628572975,20.643107734859992,40.471572541700155,80.68983327154709,10.820524142314943,0.01,2,57.44693814059117,3417.2344444433297,17.550556636904773,2.462457370758057
0.0001,0.5,10.0,ascent,60.40490030627637,22.112721492672925,40.31217969877189,80.51567505239407,9.442560062227274,0.01,1,59.662299993232054,3648.751981011187,20.00253338266936,1.8863319206237792
0.0001,1.0,0.01,ascent,59.595434974216275,22.517834628690547,40.50243480399887,80.70651249448446,11.56683079331342,0.01,2,58.46216122557305,3551.6158697660408,19.355010604009948,1.602932758331299
0.0001,1.0,0.1,ascent,60.5386255887211,22.90726167634172,40.501525615822246,80.70576698282557,12.099776375728245,0.01,2,59.31711894410183,3664.9251881713567,19.413211950764847,1.8074893856048584
0.0001,1.0,1.0,ascent,55.83740473683626,18.17489469337349,40.48920458562658,72.6603951425138,10.26145712401776,0.01,1,54.88641239357159,3117.8157677452646,14.967655416461266,1.7264280128479004
0.0001,1.0,10.0,ascent,56.725290216183346,18.899553037980482,42.412892565001755,80.59709861272283,9.919866134041172,0.01,2,55.851184463652416,3217.7585501102258,16.039688651039988,1.9327119064331055
0.0001,2.0,0.01,ascent,55.49884264154531,17.260804523702202,40.50249935210486,72.66569970712365,8.684816151338605,0.01,1,54.81510287291684,3080.1215345510077,14.890881854445484,1.8679542350769043
0.0001,2.0,0.1,ascent,52.619258692208646,15.048066571749523,40.502256160621094,66.63487632129393,7.302960860710462,0.01,1,52.110010055501874,2768.786385317575,12.971926259296156,1.7506822681427001
0.0001,2.0,1.0,ascent,55.1874827905614,17.200741732513574,40.49774247995056,72.66268793744025,9.236797951076584,0.01,2,54.409004956619974,3045.65825675851,14.48352993168761,1.8239608478546143
0.0001,2.0,10.0,ascent,57.419235552403485,19.219046685179492,42.47870022386055,80.67755131791708,9.469907689914757,0.01,1,56.63293617469334,3296.9686114223964,16.717210515658795,1.832597665786743
0.001,0.1,0.01,ascent,55.60825381257365,17.986508763020606,40.49830655047599,72.66353473324827,10.273207160274803,0.01,3,54.651066839776234,3092.2778920836117,14.729356822822881,2.194361047744751
0.001,0.1,0.1,ascent,56.288394142617314,17.694829756624184,42.46927018701256,72.64707902674476,7.755258731585037,0.01,1,55.75158542284523,3168.3833151546355,15.885716757722022,2.0926925849914553
0.001,0.1,1.0,ascent,57.134733999898415,20.237438660690632,40.2216449740563,80.4695961528747,10.338008916076078,0.01,1,56.19166664987149,3264.377829239148,17.457354364800278,1.9029135227203369
0.001,0.1,10.0,ascent,47.925141171757325,16.425837484950627,7.959662381108187,77.89014237199459,13.241168668582135,0.01,1,46.0596418638164,2296.819156332869,13.833479285521928,1.4672720050811767
0.001,0.5,0.01,ascent,56.03507059042064,18.738884974934642,40.50208554898103,80.70609886607862,8.88292025572706,0.01,1,55.32651140098947,3139.929136073424,16.204888671907394,1.8035126304626465
