lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.1,0.01,ascent,2556.1751484113183,11.34568294629921,389.79560859874476,3601.0,1020.6975049980865,0.01,1,2343.546029555704,6534031.389355626,10.35676096006816,1.5347021579742433
0.0001,0.1,0.1,ascent,2188.3434825575805,11.210997314164363,0.031796921996464306,3609.0,1162.332754650061,0.01,1,1854.1385506805693,4788847.197652239,9.40496747593774,1.5856633377075195
0.0001,0.1,1.0,ascent,2626.5581827646215,12.35879477165876,385.16260934540924,3609.0,1029.8418229726233,0.01,1,2416.2437184821015,6898807.887447791,11.16786440706236,1.4983068752288817
0.0001,0.1,10.0,ascent,2135.9133172461356,9.854615901130424,0.030504259449985156,3609.0,1266.9471023263657,0.01,2,1719.584466868731,4562125.698789392,7.873817901485238,1.4938081455230714
0.0001,0.5,0.01,ascent,2538.6862375689193,10.846694749362866,385.162608045664,3609.0,1281.6294744996615,0.01,1,2191.4273209293424,6444927.812821834,9.372577106513019,1.4007975387573242
0.0001,0.5,0.1,ascent,2953.3648404364026,12.973807608185394,400.76094365481964,3609.0,1174.0707049530522,0.01,2,2709.9671327337132,8722363.880725939,11.747648628177803,1.4125368404388428
0.0001,0.5,1.0,ascent,2538.4162243615588,11.680710557961882,392.8841741140965,3609.0,1148.6156158668123,0.01,1,2263.67822251505,6443556.92810199,10.418790377021194,1.4990586376190185
0.0001,0.5,10.0,ascent,2609.476709024785,12.223293617216743,0.029059513791518034,3609.0,1391.4521775467776,0.01,1,2207.5392482452385,6809368.694942823,10.209063820754558,1.5889738750457765
0.0001,1.0,0.01,ascent,2288.9479543125467,10.789850738103482,385.1626073484716,3609.0,1362.9115525989496,0.01,3,1838.9548219964279,5239282.737551592,8.752555438068773,1.6032874202728271
0.0001,1.0,0.1,ascent,2590.2167551890034,12.501796560112503,385.1626073722989,3609.0,1250.1496532615379,0.01,2,2268.5565197525734,6709222.838861849,10.922495681506065,1.4907339572906495
0.0001,1.0,1.0,ascent,2894.7614570347746,13.39495668506176,385.1626073722989,3609.0,1189.777367771121,0.01,1,2638.9531462823875,8379643.89313409,12.08035433795827,1.5150384616851806
0.0001,1.0,10.0,ascent,2875.0814629116726,12.718064855895237,385.1626073722989,3609.0,982.5035557345201,0.01,1,2701.995592399689,8266093.418378322,11.835613738685783,1.444414300918579
0.0001,2.0,0.01,ascent,2907.797454436814,13.612660953092437,385.1626077709385,3609.0,1311.5078512999899,0.01,1,2595.232781853624,8455286.036029216,12.11697351633331,2.0430914211273192
0.0001,2.0,0.1,ascent,2947.0526296355115,13.363093289117561,385.16260777113905,3609.0,1173.8754523882835,0.01,1,2703.1714011734043,8685119.201841583,12.244821259554005,1.8574931812286377
