algorithm,T_init,alpha,mean,best,worst,std,mean_runtime,hamming_best_to_gt
SA_discrete,10,0.9,-110.0,,,,,
SA_discrete,10,0.95,-116.0,,,,,
SA_discrete,10,0.99,-82.0,,,,,
SA_discrete,10,0.995,-104.0,,,,,
SA_discrete,10,0.999,-108.0,,,,,
SA_discrete,50,0.9,-110.0,,,,,
SA_discrete,50,0.95,-72.0,,,,,
SA_discrete,50,0.99,-92.0,,,,,
SA_discrete,50,0.995,-120.0,,,,,
SA_discrete,50,0.999,-88.0,,,,,
SA_discrete,100,0.9,-78.0,,,,,
SA_discrete,100,0.95,-114.0,,,,,
SA_discrete,100,0.99,-126.0,,,,,
SA_discrete,100,0.995,-84.0,,,,,
SA_discrete,100,0.999,-114.0,,,,,
