lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.001,0.01,ascent,45.317261414609966,24.57874668564362,43.57810504070744,46.9920964131338,1.7069956862131797,0.01,1,45.28510072692062,2053.654182120097,19.562789065300677,1.2792075872421265
0.0001,0.001,0.1,ascent,37.38681526229258,37.19713209293085,17.90920253184786,49.74744592023636,15.91912169419425,0.01,1,33.82832422604211,1397.7739554567934,33.656852612168166,0.5098916292190552
0.0001,0.001,1.0,ascent,14.486774769977124,14.413566515514358,9.949560348900219,17.909202532097407,3.979821091598594,0.01,1,13.929381440498812,209.86664323604577,13.859011671973601,0.049822330474853516
0.0001,0.01,0.01,ascent,46.51805890213763,6.89256357959557,44.462101227685835,48.48691743619622,2.0124081042551936,0.01,1,46.47450933194103,2163.929804022746,6.571027777813643,1.3941338062286377
0.0001,0.01,0.1,ascent,47.165814428778845,9.267332209055896,41.90918184359065,51.89266401584002,4.991741086124684,0.01,1,46.900922929715335,2224.614050730003,7.623331299797087,2.047989845275879
0.0001,0.01,1.0,ascent,28.97901500539227,5.562204830339723,1.989918164049877,40.93417700486825,19.47212942040919,0.01,1,21.462047584459064,839.7833106827503,4.796406310915577,1.6667956113815308
0.0001,0.1,0.01,ascent,55.65754310573604,15.965913587423955,52.56047195488092,58.59113411612637,3.015331080622726,0.01,1,55.57580303550364,3097.7621045668657,15.673867711254314,1.3090465068817139
0.0001,0.1,0.1,ascent,68.8642737803216,30.762432852540417,54.54393553404801,80.68169248993104,13.068878477941514,0.01,1,67.61281401198953,4742.288203291089,27.836707254964793,1.1307119131088257
0.0001,0.1,1.0,ascent,58.59132708181498,19.824626108050158,52.23803229726927,64.32009950338933,6.041033603060029,0.01,1,58.2790659003293,3432.943609208226,18.882007099758724,1.2749433517456055
0.001,0.001,0.01,ascent,60.67766146447998,23.73635376553727,47.51090747056538,71.4581756898359,11.97363410963526,0.01,1,59.48454158020064,3681.7786007980394,20.525804953585975,1.1661702394485474
0.001,0.001,0.1,ascent,9.253629462005838,9.206900823086162,1.9899181141865885,12.934432432041113,5.472257158927262,0.01,1,7.462175273113851,85.62965822010244,7.424499768024869,0.644119381904602
0.001,0.001,1.0,ascent,9.009716292878336,8.964228060827768,7.959662381108192,9.949560298580321,0.9949489587360647,0.01,1,8.954611339844256,81.17498767815734,8.909403901518322,0.012397408485412598
0.001,0.01,0.01,ascent,59.73680306071582,20.216569878837245,54.51285026581082,64.53929373433509,5.013221734262135,0.01,1,59.52607200007296,3568.4856399147475,19.60386600869023,1.7315946817398071
0.001,0.01,0.1,ascent,65.80276413589564,29.92091944396725,47.69799701181395,79.90562318704244,16.103813087614242,0.01,1,63.801810099428195,4330.003767924313,24.881025216797696,1.9200708866119385
0.001,0.01,1.0,ascent,16.782025019626143,16.697184441191467,12.934432432041108,19.89907498301564,3.4823212754872666,0.01,1,16.416753707528375,281.6363637593579,16.333772174577838,0.12516677379608154
0.001,0.1,0.01,ascent,47.8005306792131,9.123576917144694,42.51022562892375,52.561032937022645,5.025403654049448,0.01,1,47.5356292829732,2284.890733214392,7.591334489282934,1.4063364267349243
