lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.001,0.01,ascent,2109.7707106997104,15.420743024637177,1934.3852269841827,2271.6554970061097,168.6351350109635,0.01,1,2103.0203619951462,4451132.451726362,15.416457022420476,1.4427051544189453
0.0001,0.001,0.1,ascent,2995.395741104934,12.471670206093663,2563.4260373622315,3372.482504422005,404.52823352988685,0.01,1,2967.954270892118,8972395.645829577,11.044757729381809,1.0061900615692139
0.0001,0.001,1.0,ascent,2006.833987706523,8.11140419228512,388.6298156456506,2811.357710221052,1211.3639472877007,0.01,1,1599.9937629333513,4027382.6542140646,7.942513385368528,1.0839511156082153
0.0001,0.01,0.01,ascent,3184.5427720528473,17.41962668507259,3104.5379539402247,3262.5863094503275,79.02417775505137,0.01,1,3183.562131695276,10141312.667034034,17.419164949791345,1.6718758344650269
0.0001,0.01,0.1,ascent,2243.875997488237,12.488547738886966,1923.9608686474082,2523.5557374706764,299.7974344116341,0.01,1,2223.758303059042,5034979.49210383,12.15282191438169,1.2381731271743774
0.0001,0.01,1.0,ascent,2167.795795754744,6.992305080870278,385.98407790289696,3041.330879037883,1327.673400567493,0.01,1,1713.6574784703898,4699338.6120919455,5.83593736390902,1.395450472831726
0.0001,0.1,0.01,ascent,1880.621933241301,12.334924948045447,1755.7059258847364,1997.7423290779311,121.01820159659735,0.01,1,1876.7241274813337,3536738.855788248,11.880791103504967,2.0097293853759766
0.0001,0.1,0.1,ascent,1273.4134237065448,6.219714810329467,400.82439691873617,1755.7059258847364,677.4407644830002,0.01,1,1078.2651614017363,1621581.747676024,5.284477120404521,1.4585007429122925
0.0001,0.1,1.0,ascent,2292.043750835748,13.206991970073966,1828.9483147644703,2676.168375384967,423.61003031024836,0.01,1,2252.5583450747185,5253464.555745205,12.599504065374362,1.3149561882019043
0.001,0.001,0.01,ascent,353.650584065614,1.7772444321986973,345.45040738447676,361.6648825332629,8.107237574393082,0.01,1,353.55764495886984,125068.73560994992,1.776911588897954,0.7363275289535522
0.001,0.001,0.1,ascent,2428.6585160859104,12.683032544610855,2395.5366708567353,2461.334685509848,32.89900732655633,0.01,1,2428.4356781832917,5898382.187756617,12.68238327263175,0.8508288860321045
0.001,0.001,1.0,ascent,2212.500551435498,11.091383172205344,1.2379537655412512e-06,3128.948286598033,1564.4741426800397,1e-06,1,1564.4741439179934,4895158.6901023835,7.8427953533679435,0.6739565134048462
0.001,0.01,0.01,ascent,2179.87259408567,10.947936848111869,293.08843606609116,3068.8415113094234,1387.876537621666,0.01,1,1680.9649736877573,4751844.5264457865,8.459439619499427,0.8208409547805786
0.001,0.01,0.1,ascent,1875.792613960595,4.054516336242288,257.00367067834446,2640.2925925806217,1191.6444609511386,0.01,1,1448.648131629483,3518597.9305891218,3.4679946116873137,0.9071354866027832
0.001,0.01,1.0,ascent,2506.7267679129727,5.02306676840704,2496.69400624611,2516.7195348543682,10.012764304129178,0.01,1,2506.706770550239,6283679.088971419,5.022906548454497,0.7237498760223389
0.001,0.1,0.01,ascent,340.79086080015253,1.7320487951029464,267.3459628041249,401.0024411174492,66.82823915666216,0.01,1,334.17420196078706,116138.41080490893,1.7058789084959738,1.0782952308654785
0.001,0.1,0.1,ascent,3124.9585959758506,15.753319607802082,2603.6782139842558,3570.9371614676274,483.62947374168584,0.01,1,3087.307687725942,9765366.22656336,15.597091636376422,1.9221397638320923
0.001,0.1,1.0,ascent,332.295842064063,1.6790973806168998,325.6728502350979,338.789385792821,6.558267778861563,0.01,1,332.2311180139594,110420.5266530647,1.6788378941494086,1.184943437576294
0.01,0.001,0.01,ascent,1158.8205064726833,6.874353781237368,738.1956771384205,1463.1462929923862,362.47530792698285,0.01,1,1100.6709850654033,1342864.9662216064,5.371324519510855,0.9766767024993896
0.01,0.001,0.1,ascent,1075.2466985115034,6.443354508608873,1040.240586345527,1109.1485237962004,34.45396872533672,0.01,1,1074.6945550708638,1156155.462659888,5.07640562934991,1.2985436916351318
0.01,0.001,1.0,ascent,668.1194962661503,1.1740484821542843,665.4484004378332,670.7799556759265,2.6657776190466507,0.01,1,668.1141780568798,446383.6612909344,1.174040587758192,0.8984098434448242
0.01,0.01,0.01,ascent,2944.1106053179615,12.15835005993834,2574.215370829744,3272.4592796970396,349.1219544336477,0.01,1,2923.337325263392,8667787.256345693,10.827303666517945,0.6590409278869629
