lr,batch_size,val_accuracy,val_precision_class1,val_recall_class1,val_f1_class1,time_seconds
0.001,16,0.7696742429851188,0.8011105878324061,0.8462006079027355,0.8229766913642174,151.54
0.001,32,0.7675562671207523,0.7912354796278502,0.8595744680851064,0.8238903528580721,125.66
0.001,64,0.7652498704375509,0.8001762963990077,0.8386018237082066,0.8188389247847663,53.83
0.01,16,0.7537003035463093,0.8104605891684804,0.7975683890577507,0.8039286257863761,164.84
0.01,32,0.7621660990597469,0.7988062430732177,0.8358662613981764,0.8159645387014841,86.86
0.01,64,0.75889649811209,0.7991396743995536,0.8273556231003039,0.8126493337741574,49.3
0.1,16,0.7360052195158067,0.7738908475661959,0.8282674772036474,0.7975947034912728,215.11
0.1,32,0.7327289553564819,0.7631026621586277,0.8392097264437691,0.7989175321006876,86.11
0.1,64,0.7450449766787591,0.768963788401926,0.8559270516717324,0.8095415321223159,59.85
0.3,16,0.5803144665728881,0.7066412356227764,0.8003039513677811,0.6209960096131316,164.21
0.3,32,0.6332497964018657,0.6332820143714375,0.9993920972644377,0.7752887691960895,95.04
0.3,64,0.6917428000296143,0.7653269035219857,0.7835866261398176,0.7576797784498958,58.46
0.5,16,0.5805067742651959,0.7067630243249308,0.8003039513677811,0.6210873507382237,116.94
0.5,32,0.6332497964018657,0.6332308309984989,0.9996960486322187,0.7753418595286697,65.58
0.5,64,0.6332499814910787,0.633230830998499,0.9996960486322187,0.7753418595286696,48.62
